                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7625,                 4.5365,                 3.9463,                  0.662,                 0.0902,                0.07906,                 0.0436,                 1.6258,                 3.3449,                 3.1933,              0.0033254,              0.0033254,              0.0033254
                      2,                 1.7554,                 3.4378,                 2.6621,                0.11177,                0.41685,                0.13328,                 0.0822,                 1.3018,                 2.7846,                 2.1364,              0.0066527,              0.0066527,              0.0066527
                      3,                  1.366,                 2.9171,                  2.106,                0.18267,                0.42319,                 0.2048,                 0.1379,                 1.0591,                 2.1866,                 1.8494,              0.0099741,              0.0099741,              0.0099741
                      4,                 1.1962,                 2.4838,                 1.8913,                0.24577,                0.58454,                0.25473,                0.18017,                 1.0226,                 2.0733,                 1.7752,               0.009973,               0.009973,               0.009973
                      5,                 1.1041,                 2.1845,                   1.78,                0.20797,                0.58482,                 0.2656,                0.19901,                0.90647,                 1.8817,                 1.6336,               0.009973,               0.009973,               0.009973
                      6,                 1.0477,                 2.0078,                 1.7279,                 0.2355,                0.60537,                0.33616,                0.24649,                 0.8755,                 1.6645,                 1.5857,               0.009964,               0.009964,               0.009964
                      7,                 1.0193,                 1.8928,                 1.7009,                0.24489,                0.62065,                0.35882,                0.26665,                0.85802,                 1.5707,                 1.6031,               0.009955,               0.009955,               0.009955
                      8,                0.99719,                 1.8072,                 1.6833,                0.34886,                 0.6261,                0.43509,                0.31607,                0.86407,                 1.4881,                 1.6089,               0.009946,               0.009946,               0.009946
                      9,                0.97182,                 1.7632,                 1.6549,                0.46681,                 0.5743,                0.47431,                0.35701,                0.84893,                 1.4483,                 1.5819,               0.009937,               0.009937,               0.009937
                     10,                0.96176,                 1.7039,                 1.6372,                0.43539,                0.64803,                0.53096,                0.40769,                0.83037,                 1.3338,                 1.5622,               0.009928,               0.009928,               0.009928
                     11,                0.94747,                 1.6471,                 1.6285,                0.52395,                0.60332,                0.54129,                0.41694,                 0.8296,                 1.3246,                 1.5544,               0.009919,               0.009919,               0.009919
                     12,                0.93127,                 1.5885,                 1.6136,                0.46218,                0.64098,                0.55851,                   0.43,                0.79675,                 1.3059,                 1.5265,                0.00991,                0.00991,                0.00991
                     13,                0.92635,                 1.5638,                 1.6134,                0.50664,                0.70295,                0.59668,                0.46101,                0.79463,                 1.2104,                 1.5374,               0.009901,               0.009901,               0.009901
                     14,                0.91762,                 1.5319,                 1.6065,                0.47907,                0.71644,                0.61047,                0.46582,                0.81663,                 1.2246,                 1.5314,               0.009892,               0.009892,               0.009892
                     15,                0.89881,                  1.501,                 1.5903,                0.53476,                0.66501,                0.61464,                0.46744,                  0.823,                  1.169,                 1.5529,               0.009883,               0.009883,               0.009883
                     16,                0.89895,                 1.4877,                 1.5864,                0.55311,                0.66945,                0.63051,                0.48532,                0.81072,                 1.1847,                 1.5456,               0.009874,               0.009874,               0.009874
                     17,                0.89023,                 1.4702,                 1.5838,                0.52958,                0.71517,                0.62729,                0.47487,                0.82753,                 1.2127,                 1.5474,               0.009865,               0.009865,               0.009865
                     18,                0.89239,                 1.4424,                 1.5815,                0.53949,                0.72227,                0.65266,                0.50245,                0.79243,                 1.1278,                 1.5007,               0.009856,               0.009856,               0.009856
                     19,                0.87631,                 1.4215,                 1.5651,                0.55965,                0.71094,                0.67238,                0.51604,                0.81329,                 1.1078,                 1.5371,               0.009847,               0.009847,               0.009847
                     20,                0.88302,                 1.4056,                 1.5784,                0.60358,                0.71964,                0.68051,                0.53042,                0.79997,                 1.0541,                 1.5263,               0.009838,               0.009838,               0.009838
                     21,                0.88013,                 1.3893,                 1.5741,                 0.5921,                0.71905,                0.68231,                0.52824,                0.79278,                 1.0855,                 1.5139,               0.009829,               0.009829,               0.009829
                     22,                0.86895,                 1.3697,                 1.5645,                0.59556,                0.72648,                0.70456,                0.55446,                0.77255,                 1.0373,                 1.5035,                0.00982,                0.00982,                0.00982
                     23,                0.86786,                 1.3593,                 1.5747,                0.63248,                0.72374,                0.72021,                0.56787,                0.77287,                 0.9813,                 1.5074,               0.009811,               0.009811,               0.009811
                     24,                0.86801,                 1.3451,                 1.5683,                0.63921,                0.72653,                0.71946,                0.55912,                0.79411,                 1.0174,                 1.5403,               0.009802,               0.009802,               0.009802
                     25,                0.87045,                 1.3378,                 1.5647,                0.66634,                0.72986,                0.73644,                 0.5752,                0.79138,                0.97744,                 1.5136,               0.009793,               0.009793,               0.009793
                     26,                0.86197,                 1.3282,                 1.5553,                0.63855,                0.75026,                0.72754,                0.56258,                0.79359,                0.97081,                 1.5386,               0.009784,               0.009784,               0.009784
                     27,                0.84847,                 1.3041,                 1.5511,                0.64173,                0.76437,                0.73578,                0.57776,                0.77848,                0.95932,                 1.5243,               0.009775,               0.009775,               0.009775
                     28,                0.85637,                 1.3018,                 1.5561,                 0.6901,                0.69962,                0.71369,                0.56426,                0.76997,                 1.0066,                 1.4812,               0.009766,               0.009766,               0.009766
                     29,                0.85464,                 1.2978,                 1.5555,                0.65571,                0.75654,                0.74851,                0.58262,                0.79916,                0.95432,                 1.5467,               0.009757,               0.009757,               0.009757
                     30,                0.84407,                 1.2731,                 1.5422,                0.70635,                 0.7243,                0.74044,                0.57669,                0.78782,                0.96516,                 1.5168,               0.009748,               0.009748,               0.009748
                     31,                0.84593,                 1.2697,                 1.5474,                0.68743,                0.75224,                0.75538,                0.58645,                0.79222,                0.92217,                 1.5234,               0.009739,               0.009739,               0.009739
                     32,                0.84164,                 1.2431,                 1.5429,                0.66708,                0.76649,                0.75651,                0.59411,                0.77356,                0.93112,                 1.5031,                0.00973,                0.00973,                0.00973
                     33,                0.83688,                 1.2371,                 1.5413,                 0.7049,                0.74615,                0.76118,                0.60056,                0.77137,                0.91336,                 1.5042,               0.009721,               0.009721,               0.009721
                     34,                0.83879,                 1.2331,                   1.55,                 0.6974,                0.76423,                0.77004,                0.60194,                0.78021,                 0.9058,                 1.5211,               0.009712,               0.009712,               0.009712
                     35,                0.81953,                  1.207,                 1.5253,                 0.7196,                0.73567,                0.77768,                0.60957,                0.78338,                0.89718,                 1.5373,               0.009703,               0.009703,               0.009703
                     36,                0.82732,                 1.2109,                 1.5341,                0.73232,                0.73654,                0.78696,                0.62235,                0.78608,                0.88284,                 1.5292,               0.009694,               0.009694,               0.009694
                     37,                0.82745,                 1.2133,                 1.5388,                0.71099,                0.76731,                0.77034,                0.60276,                0.79021,                 0.8941,                 1.5539,               0.009685,               0.009685,               0.009685
                     38,                0.82019,                 1.1859,                 1.5282,                0.72225,                0.76877,                0.78991,                0.62635,                0.76852,                0.84904,                  1.502,               0.009676,               0.009676,               0.009676
                     39,                0.81852,                 1.1869,                 1.5322,                0.69401,                0.78704,                0.78651,                 0.6223,                0.76484,                0.87214,                 1.5107,               0.009667,               0.009667,               0.009667
                     40,                0.82483,                 1.1861,                 1.5369,                0.68985,                0.77784,                0.77665,                0.60923,                0.77765,                0.89067,                 1.5391,               0.009658,               0.009658,               0.009658
                     41,                0.81577,                 1.1766,                 1.5306,                0.72944,                0.78578,                0.79473,                0.62476,                 0.7818,                 0.8436,                 1.5413,               0.009649,               0.009649,               0.009649
                     42,                0.82109,                 1.1636,                 1.5377,                0.73588,                0.74615,                0.78462,                 0.6162,                0.77879,                0.86092,                 1.5368,                0.00964,                0.00964,                0.00964
                     43,                 0.8193,                  1.177,                 1.5364,                0.70977,                0.77897,                0.77857,                0.61784,                0.76497,                0.87498,                 1.5068,               0.009631,               0.009631,               0.009631
                     44,                0.82069,                 1.1728,                 1.5313,                0.74318,                0.76146,                0.79058,                0.62111,                0.77745,                0.83425,                 1.5292,               0.009622,               0.009622,               0.009622
                     45,                0.81048,                 1.1624,                 1.5295,                0.76697,                0.74778,                0.79743,                0.63298,                0.75942,                0.83225,                 1.5362,               0.009613,               0.009613,               0.009613
                     46,                0.81266,                 1.1546,                 1.5313,                0.72737,                0.78533,                0.79691,                0.62801,                0.76932,                 0.8351,                 1.5201,               0.009604,               0.009604,               0.009604
                     47,                0.80573,                 1.1583,                 1.5223,                 0.7232,                0.79084,                0.80189,                0.63606,                0.76218,                0.82451,                 1.5385,               0.009595,               0.009595,               0.009595
                     48,                0.81438,                 1.1438,                 1.5356,                0.74872,                0.78368,                0.80479,                0.63392,                0.78002,                0.81418,                 1.5603,               0.009586,               0.009586,               0.009586
                     49,                0.79787,                 1.1343,                 1.5178,                 0.7345,                0.78069,                0.79957,                0.63088,                0.78089,                0.82867,                 1.5606,               0.009577,               0.009577,               0.009577
                     50,                 0.8101,                 1.1357,                  1.531,                0.73903,                0.78455,                0.80706,                0.64077,                0.76107,                0.80595,                 1.5337,               0.009568,               0.009568,               0.009568
                     51,                0.80943,                 1.1314,                  1.531,                0.73067,                0.78311,                0.80284,                0.63661,                 0.7694,                0.80496,                 1.5419,               0.009559,               0.009559,               0.009559
                     52,                 0.7972,                 1.1269,                 1.5274,                0.74275,                 0.7977,                0.80699,                 0.6408,                0.77234,                0.80178,                 1.5779,                0.00955,                0.00955,                0.00955
                     53,                0.80446,                 1.1181,                 1.5292,                0.75425,                 0.7816,                0.81112,                0.63585,                 0.7882,                0.79788,                 1.5683,               0.009541,               0.009541,               0.009541
                     54,                0.79729,                 1.1159,                 1.5234,                0.73872,                0.78471,                0.81362,                0.64386,                0.76618,                0.78461,                 1.5416,               0.009532,               0.009532,               0.009532
                     55,                0.79893,                 1.1087,                 1.5228,                0.77297,                0.77294,                0.81184,                0.64261,                  0.774,                0.79244,                 1.5334,               0.009523,               0.009523,               0.009523
                     56,                0.80334,                 1.1089,                 1.5261,                0.75817,                0.77339,                0.81117,                 0.6424,                0.76436,                 0.7992,                 1.5182,               0.009514,               0.009514,               0.009514
                     57,                0.79912,                 1.1089,                 1.5202,                0.76158,                0.76992,                0.81684,                0.64636,                0.77073,                0.78766,                 1.5298,               0.009505,               0.009505,               0.009505
                     58,                0.80118,                 1.0978,                 1.5161,                0.75887,                0.78991,                0.82056,                0.64784,                0.77312,                0.78306,                 1.5385,               0.009496,               0.009496,               0.009496
                     59,                0.79372,                 1.0871,                 1.5142,                0.75277,                0.78849,                0.81636,                0.64866,                0.76422,                0.77295,                 1.5398,               0.009487,               0.009487,               0.009487
                     60,                0.79201,                 1.0868,                 1.5233,                0.75436,                0.79037,                 0.8187,                 0.6492,                0.76893,                0.78075,                 1.5417,               0.009478,               0.009478,               0.009478
                     61,                0.79065,                 1.0729,                 1.5201,                0.75825,                0.78472,                0.81876,                0.64688,                0.76611,                0.78554,                  1.547,               0.009469,               0.009469,               0.009469
                     62,                0.79123,                 1.0912,                 1.5215,                0.75592,                0.78867,                0.82258,                0.64944,                0.77834,                0.77154,                 1.5654,                0.00946,                0.00946,                0.00946
                     63,                0.79413,                 1.0778,                 1.5201,                 0.7781,                0.79358,                0.82402,                0.65624,                 0.7686,                0.75654,                 1.5244,               0.009451,               0.009451,               0.009451
                     64,                0.79003,                 1.0797,                 1.5188,                0.77083,                0.77429,                0.82275,                0.65162,                0.76759,                0.77151,                 1.5372,               0.009442,               0.009442,               0.009442
                     65,                0.79244,                 1.0788,                 1.5141,                0.78449,                0.79592,                0.83333,                0.66012,                0.77077,                0.75151,                 1.5207,               0.009433,               0.009433,               0.009433
                     66,                0.79412,                 1.0652,                 1.5187,                0.75584,                0.80943,                0.82772,                 0.6548,                0.77937,                0.75194,                  1.556,               0.009424,               0.009424,               0.009424
                     67,                0.78814,                 1.0672,                 1.5185,                0.77165,                0.79771,                0.82972,                0.65349,                0.78339,                0.75554,                 1.5661,               0.009415,               0.009415,               0.009415
                     68,                 0.7869,                 1.0571,                 1.5088,                0.77393,                0.79075,                0.82932,                0.65773,                0.77095,                0.75347,                 1.5484,               0.009406,               0.009406,               0.009406
                     69,                0.78548,                 1.0627,                 1.5147,                0.77263,                 0.7977,                0.83166,                0.65722,                0.77468,                 0.7545,                 1.5656,               0.009397,               0.009397,               0.009397
                     70,                0.78549,                 1.0549,                 1.5133,                0.75829,                0.81194,                0.83153,                0.66139,                0.77651,                0.75396,                 1.5643,               0.009388,               0.009388,               0.009388
                     71,                0.78708,                 1.0518,                 1.5083,                 0.7557,                0.81822,                0.83048,                 0.6579,                0.77214,                0.74955,                 1.5466,               0.009379,               0.009379,               0.009379
                     72,                 0.7788,                  1.047,                 1.5041,                0.74741,                0.82953,                0.83562,                0.66026,                0.77588,                0.74159,                 1.5551,                0.00937,                0.00937,                0.00937
                     73,                0.78147,                 1.0478,                 1.5083,                0.77434,                0.80122,                0.83596,                0.66187,                0.77175,                0.73999,                 1.5453,               0.009361,               0.009361,               0.009361
                     74,                0.78096,                 1.0581,                 1.5098,                0.77401,                0.80533,                0.84056,                 0.6683,                0.76325,                0.73152,                 1.5392,               0.009352,               0.009352,               0.009352
                     75,                 0.7823,                 1.0401,                 1.5041,                0.76452,                0.82246,                 0.8378,                0.66496,                0.76819,                  0.732,                 1.5511,               0.009343,               0.009343,               0.009343
                     76,                0.77554,                 1.0285,                 1.4996,                 0.7774,                0.80988,                0.84307,                0.66977,                0.76317,                0.73154,                 1.5306,               0.009334,               0.009334,               0.009334
                     77,                0.78191,                  1.038,                 1.5067,                0.78952,                0.80231,                0.84413,                0.67244,                0.76899,                0.72502,                 1.5364,               0.009325,               0.009325,               0.009325
                     78,                0.77591,                 1.0292,                 1.4972,                0.79423,                0.79099,                0.83911,                0.66666,                0.77198,                0.72803,                 1.5351,               0.009316,               0.009316,               0.009316
                     79,                0.77484,                 1.0344,                 1.5002,                0.78046,                0.81517,                0.84189,                0.66783,                0.77181,                0.72599,                 1.5457,               0.009307,               0.009307,               0.009307
                     80,                0.77716,                 1.0398,                  1.499,                0.77539,                0.82703,                0.84776,                0.67159,                0.77308,                0.72111,                 1.5463,               0.009298,               0.009298,               0.009298
                     81,                0.77539,                 1.0329,                 1.5044,                 0.7829,                0.81632,                0.84718,                0.66919,                0.77256,                0.71536,                 1.5552,               0.009289,               0.009289,               0.009289
                     82,                0.77207,                 1.0267,                  1.502,                0.79075,                0.80062,                0.84395,                0.67018,                0.76368,                0.72107,                 1.5541,                0.00928,                0.00928,                0.00928
                     83,                0.77695,                 1.0352,                 1.5107,                0.77742,                0.82018,                0.84572,                0.67157,                0.76631,                  0.717,                 1.5551,               0.009271,               0.009271,               0.009271
                     84,                0.76885,                 1.0205,                 1.4958,                0.79421,                0.80832,                 0.8463,                 0.6725,                0.76635,                0.71479,                 1.5471,               0.009262,               0.009262,               0.009262
                     85,                0.77263,                 1.0162,                 1.5034,                0.78742,                0.81874,                0.84778,                0.67204,                0.76957,                0.71573,                 1.5504,               0.009253,               0.009253,               0.009253
                     86,                0.77274,                 1.0152,                 1.4986,                0.79474,                0.80485,                0.84802,                0.67328,                0.76837,                0.71722,                 1.5475,               0.009244,               0.009244,               0.009244
                     87,                 0.7699,                 1.0148,                 1.5025,                0.79831,                 0.7981,                0.84673,                0.67294,                0.76812,                0.71634,                 1.5581,               0.009235,               0.009235,               0.009235
                     88,                0.77395,                 1.0156,                 1.4997,                 0.7965,                0.79869,                0.84602,                0.67314,                 0.7665,                0.71505,                 1.5434,               0.009226,               0.009226,               0.009226
                     89,                0.77257,                 1.0108,                 1.5051,                0.79297,                0.79917,                0.84394,                0.67114,                0.77008,                0.72023,                 1.5707,               0.009217,               0.009217,               0.009217
                     90,                0.77188,                 1.0187,                 1.5032,                0.78119,                0.81838,                 0.8436,                 0.6703,                0.76955,                0.71795,                 1.5698,               0.009208,               0.009208,               0.009208
                     91,                0.77226,                 1.0042,                  1.501,                0.79031,                0.80248,                0.84552,                0.67285,                0.76676,                0.71411,                 1.5633,               0.009199,               0.009199,               0.009199
                     92,                0.77177,                  1.018,                 1.4966,                0.81184,                 0.7831,                0.84696,                0.67288,                0.77376,                0.71663,                 1.5731,                0.00919,                0.00919,                0.00919
                     93,                0.76789,                 1.0026,                 1.4995,                0.78085,                0.81672,                0.84728,                0.67307,                0.77352,                0.71236,                   1.58,               0.009181,               0.009181,               0.009181
                     94,                0.76689,                 1.0071,                 1.4935,                0.76998,                0.83103,                0.84708,                0.67183,                0.77528,                0.70947,                 1.5773,               0.009172,               0.009172,               0.009172
                     95,                0.77403,                 1.0142,                 1.5024,                0.78348,                0.80865,                0.84605,                0.67201,                0.77428,                0.71074,                 1.5689,               0.009163,               0.009163,               0.009163
                     96,                0.76845,                  1.002,                 1.4973,                0.78175,                0.80624,                0.84787,                0.67421,                0.77378,                 0.7069,                 1.5673,               0.009154,               0.009154,               0.009154
                     97,                0.77188,                 1.0015,                 1.4986,                0.79578,                0.79558,                 0.8485,                0.67193,                0.77416,                0.70765,                 1.5696,               0.009145,               0.009145,               0.009145
                     98,                0.77499,                0.99976,                 1.5007,                0.77758,                0.81378,                0.84929,                0.67274,                 0.7731,                0.70226,                  1.567,               0.009136,               0.009136,               0.009136
                     99,                 0.7662,                0.98731,                 1.4961,                0.79972,                0.79783,                0.84842,                0.67354,                0.77185,                0.69979,                 1.5669,               0.009127,               0.009127,               0.009127
                    100,                0.76255,                0.99321,                 1.4899,                0.79512,                0.81037,                0.85112,                0.67564,                0.76946,                0.69828,                 1.5677,               0.009118,               0.009118,               0.009118
                    101,                0.77045,                 0.9884,                 1.5001,                0.79902,                0.80489,                0.85222,                0.67671,                0.77026,                0.70004,                 1.5689,               0.009109,               0.009109,               0.009109
                    102,                 0.7596,                0.98248,                 1.4914,                0.78045,                0.81589,                0.84888,                0.67506,                0.76969,                0.70216,                 1.5686,                 0.0091,                 0.0091,                 0.0091
                    103,                0.76265,                0.99701,                 1.4869,                0.77816,                0.81784,                0.84735,                0.67484,                0.76821,                 0.7039,                 1.5644,               0.009091,               0.009091,               0.009091
                    104,                0.76758,                0.99354,                 1.4929,                0.77359,                0.81553,                 0.8476,                0.67541,                0.76741,                0.70577,                 1.5658,               0.009082,               0.009082,               0.009082
                    105,                0.75872,                0.98296,                 1.4848,                0.78423,                0.80466,                0.84785,                0.67488,                0.76581,                0.70599,                 1.5636,               0.009073,               0.009073,               0.009073
                    106,                0.76225,                0.99088,                 1.4898,                0.78782,                0.80834,                0.84813,                0.67506,                0.76667,                0.70381,                 1.5665,               0.009064,               0.009064,               0.009064
                    107,                0.75659,                0.98138,                 1.4823,                 0.7965,                0.80375,                0.84802,                0.67465,                0.76538,                0.70515,                 1.5703,               0.009055,               0.009055,               0.009055
                    108,                0.75927,                0.98138,                 1.4901,                0.78365,                0.81882,                0.85072,                0.67749,                0.76414,                0.69875,                  1.568,               0.009046,               0.009046,               0.009046
                    109,                0.75725,                0.97178,                 1.4886,                0.78757,                0.81588,                0.85055,                0.67817,                0.76349,                0.69658,                 1.5689,               0.009037,               0.009037,               0.009037
                    110,                0.75926,                0.97643,                 1.4876,                 0.7872,                0.81722,                0.85142,                0.67899,                0.76392,                0.69516,                 1.5689,               0.009028,               0.009028,               0.009028
                    111,                0.76101,                0.98154,                 1.4927,                0.79365,                0.81299,                0.85422,                0.68006,                0.76489,                0.69437,                 1.5719,               0.009019,               0.009019,               0.009019
