                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7819,                 4.6211,                 3.9197,                 0.2477,                0.07651,                0.05642,                0.02647,                 1.6995,                 3.4071,                 2.8805,              0.0033254,              0.0033254,              0.0033254
                      2,                 1.6395,                 3.3862,                 2.3857,                0.04998,                0.11494,                0.05337,                 0.0332,                 1.5145,                 4.2156,                 2.5813,              0.0066527,              0.0066527,              0.0066527
                      3,                 1.2875,                 2.8145,                 1.8741,                0.16773,                0.49468,                0.22126,                0.15502,                 1.0386,                 2.1062,                 1.7372,              0.0099741,              0.0099741,              0.0099741
                      4,                 1.1301,                 2.3154,                 1.6898,                0.24109,                0.64637,                0.31829,                0.23364,                0.93704,                 1.7328,                 1.6117,               0.009973,               0.009973,               0.009973
                      5,                 1.0602,                 2.0537,                 1.6145,                0.26826,                0.59632,                0.34334,                0.25068,                0.94725,                  1.698,                 1.6179,               0.009973,               0.009973,               0.009973
                      6,                 1.0111,                 1.9074,                 1.5548,                0.31865,                0.60506,                0.41741,                0.30946,                0.82475,                 1.5585,                 1.4851,               0.009964,               0.009964,               0.009964
                      7,                0.99047,                 1.8144,                 1.5277,                 0.3738,                0.63787,                0.47879,                0.35872,                0.84755,                 1.4232,                 1.5002,               0.009955,               0.009955,               0.009955
                      8,                0.96589,                 1.7443,                 1.4976,                0.40326,                0.65234,                0.52403,                0.39005,                0.87343,                 1.3954,                 1.5392,               0.009946,               0.009946,               0.009946
                      9,                0.94271,                 1.6909,                 1.4757,                0.43822,                0.66757,                0.55829,                0.42614,                0.84122,                 1.2726,                 1.4931,               0.009937,               0.009937,               0.009937
                     10,                0.93358,                  1.627,                  1.456,                0.46703,                0.68552,                0.58032,                0.44912,                0.80591,                 1.2153,                 1.4459,               0.009928,               0.009928,               0.009928
                     11,                0.92193,                 1.5877,                 1.4349,                0.54251,                0.64038,                0.59765,                 0.4565,                0.82315,                 1.2298,                 1.4978,               0.009919,               0.009919,               0.009919
                     12,                0.90425,                 1.5242,                 1.4181,                0.55928,                0.65887,                0.63151,                0.48403,                0.80936,                 1.1691,                 1.4752,                0.00991,                0.00991,                0.00991
                     13,                0.90431,                 1.4965,                 1.4109,                0.54573,                0.70388,                0.64865,                0.50128,                0.79547,                 1.1311,                 1.4493,               0.009901,               0.009901,               0.009901
                     14,                0.89979,                 1.4634,                 1.3983,                 0.5884,                0.67518,                0.66525,                0.51491,                0.80608,                 1.1153,                 1.4711,               0.009892,               0.009892,               0.009892
