                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6972,                 4.4365,                 3.7891,                0.20338,                0.18128,                0.08927,                0.04792,                 1.5854,                 3.2638,                 2.7802,              0.0033254,              0.0033254,              0.0033254
                      2,                  1.669,                  3.341,                  2.463,                0.13676,                0.53533,                0.17647,                0.10667,                 1.1834,                 2.7865,                 2.0482,              0.0066527,              0.0066527,              0.0066527
                      3,                 1.3021,                 2.7893,                 1.9809,                0.19189,                0.51267,                  0.241,                0.17044,                 1.0231,                 2.1609,                 1.7919,              0.0099741,              0.0099741,              0.0099741
                      4,                 1.1477,                  2.327,                 1.8055,                0.28301,                0.60477,                 0.3308,                0.24041,                0.95251,                 1.7561,                 1.6731,               0.009973,               0.009973,               0.009973
                      5,                 1.0718,                 2.0637,                 1.7155,                0.28165,                0.65265,                0.39592,                0.29473,                 0.8939,                 1.6265,                 1.6037,               0.009973,               0.009973,               0.009973
                      6,                 1.0203,                 1.8956,                 1.6589,                0.35657,                0.63434,                0.44512,                 0.3315,                0.83659,                 1.5782,                  1.546,               0.009964,               0.009964,               0.009964
                      7,                0.99603,                 1.8037,                 1.6395,                0.35254,                0.62724,                0.43154,                0.32721,                0.84706,                  1.555,                  1.546,               0.009955,               0.009955,               0.009955
                      8,                  0.972,                 1.7261,                 1.6143,                0.41111,                0.61743,                0.53602,                0.40448,                0.84375,                  1.411,                 1.5313,               0.009946,               0.009946,               0.009946
                      9,                0.95193,                 1.6869,                 1.5912,                0.42216,                0.68126,                0.55204,                 0.4204,                0.83502,                 1.3273,                 1.5389,               0.009937,               0.009937,               0.009937
                     10,                0.94022,                 1.6222,                 1.5771,                0.43698,                0.68677,                0.58511,                0.45143,                0.81158,                 1.2564,                 1.5174,               0.009928,               0.009928,               0.009928
                     11,                0.92905,                 1.5874,                  1.565,                0.48973,                0.67815,                0.59651,                0.45404,                0.85129,                 1.2212,                 1.5506,               0.009919,               0.009919,               0.009919
                     12,                 0.9139,                  1.543,                 1.5517,                0.52585,                 0.7068,                0.63347,                0.48447,                0.81382,                 1.1486,                 1.5245,                0.00991,                0.00991,                0.00991
                     13,                0.90926,                 1.5078,                   1.55,                0.51919,                0.71774,                0.61783,                0.47702,                0.80691,                  1.179,                 1.5189,               0.009901,               0.009901,               0.009901
                     14,                0.90802,                 1.4833,                 1.5492,                0.54199,                0.70132,                0.65675,                0.50592,                0.81924,                  1.152,                 1.5178,               0.009892,               0.009892,               0.009892
                     15,                0.88792,                  1.449,                 1.5262,                0.60439,                0.69644,                0.68039,                0.52701,                0.80413,                 1.0711,                 1.5019,               0.009883,               0.009883,               0.009883
                     16,                0.88424,                 1.4319,                 1.5185,                0.53853,                0.68112,                0.62569,                0.47959,                0.80816,                 1.2074,                 1.4947,               0.009874,               0.009874,               0.009874
                     17,                0.88053,                 1.4224,                 1.5173,                0.59069,                0.72836,                0.69007,                0.53318,                0.79891,                 1.0787,                 1.5054,               0.009865,               0.009865,               0.009865
                     18,                0.88076,                 1.3883,                 1.5141,                0.60653,                0.73276,                0.70499,                0.55034,                0.79442,                 1.0218,                 1.4828,               0.009856,               0.009856,               0.009856
                     19,                0.86727,                 1.3781,                 1.5024,                0.59446,                0.74068,                0.71615,                0.55322,                0.81431,                 1.0257,                 1.5135,               0.009847,               0.009847,               0.009847
                     20,                0.87668,                 1.3676,                 1.5075,                0.66514,                0.71498,                0.71595,                0.55021,                0.82496,                 1.0262,                  1.526,               0.009838,               0.009838,               0.009838
                     21,                0.87428,                 1.3564,                 1.5056,                0.59949,                0.71847,                0.69849,                0.54047,                0.80134,                  1.057,                 1.5004,               0.009829,               0.009829,               0.009829
                     22,                 0.8632,                 1.3224,                 1.4855,                0.64671,                0.72919,                0.72664,                0.56127,                0.82471,                0.99405,                 1.5273,                0.00982,                0.00982,                0.00982
                     23,                0.86159,                 1.3261,                 1.4895,                0.62725,                0.74552,                0.72622,                0.57072,                 0.7821,                0.97497,                 1.4661,               0.009811,               0.009811,               0.009811
                     24,                0.85819,                 1.3146,                 1.4862,                0.62273,                 0.7477,                0.73478,                0.56455,                0.81557,                 1.0065,                 1.5204,               0.009802,               0.009802,               0.009802
                     25,                0.85613,                 1.3038,                 1.4817,                0.68016,                0.72528,                0.74438,                0.57718,                0.81194,                 0.9534,                 1.5009,               0.009793,               0.009793,               0.009793
                     26,                0.84939,                 1.2917,                 1.4686,                0.64172,                0.74468,                0.73026,                0.56186,                0.80985,                 1.0014,                 1.4923,               0.009784,               0.009784,               0.009784
                     27,                0.83955,                 1.2628,                 1.4669,                0.66842,                0.76067,                 0.7612,                0.59603,                0.79458,                0.91025,                 1.4971,               0.009775,               0.009775,               0.009775
                     28,                0.84414,                 1.2759,                 1.4629,                  0.703,                0.74185,                0.75918,                0.59634,                0.79314,                0.91182,                 1.4719,               0.009766,               0.009766,               0.009766
                     29,                0.84556,                 1.2635,                  1.464,                0.67347,                0.75638,                0.75916,                 0.5896,                0.80514,                0.93871,                 1.5059,               0.009757,               0.009757,               0.009757
                     30,                0.83543,                 1.2456,                 1.4519,                0.70368,                0.77417,                0.77077,                0.60362,                0.78507,                0.87943,                 1.4743,               0.009748,               0.009748,               0.009748
                     31,                0.83803,                 1.2406,                 1.4588,                0.73884,                0.73434,                0.78301,                0.61152,                0.80078,                0.87867,                 1.5098,               0.009739,               0.009739,               0.009739
                     32,                 0.8341,                 1.2283,                 1.4509,                0.66459,                0.75347,                0.76861,                  0.601,                0.79289,                0.91285,                 1.4934,                0.00973,                0.00973,                0.00973
                     33,                 0.8291,                 1.2226,                 1.4459,                0.70191,                  0.763,                0.77516,                0.60625,                0.78744,                0.88328,                 1.4799,               0.009721,               0.009721,               0.009721
                     34,                0.83084,                 1.2139,                 1.4476,                0.70491,                0.77419,                0.78745,                0.61229,                0.80636,                0.85328,                 1.5017,               0.009712,               0.009712,               0.009712
                     35,                0.81583,                 1.1833,                 1.4273,                0.69078,                0.77088,                0.77783,                0.61083,                0.79121,                0.89184,                 1.4966,               0.009703,               0.009703,               0.009703
                     36,                0.82336,                 1.2023,                 1.4399,                0.68681,                0.75463,                0.76116,                0.59341,                0.79573,                0.91213,                  1.482,               0.009694,               0.009694,               0.009694
