                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7351,                 4.5478,                 3.8591,                0.56377,                0.07327,                0.05017,                0.02052,                 1.8671,                 3.5537,                 3.3096,              0.0033254,              0.0033254,              0.0033254
                      2,                 1.6753,                 3.3775,                 2.4701,                0.14204,                0.30431,                0.13856,                0.08643,                 1.2454,                 2.8512,                  2.127,              0.0066527,              0.0066527,              0.0066527
                      3,                 1.3181,                 2.8598,                 1.9825,                0.16527,                0.43981,                0.18797,                0.12949,                 1.0518,                 2.2231,                 1.8092,              0.0099741,              0.0099741,              0.0099741
                      4,                 1.1599,                 2.3827,                 1.7938,                0.24905,                0.57789,                0.29291,                0.21453,                0.99677,                 1.8006,                 1.6854,               0.009973,               0.009973,               0.009973
                      5,                 1.0876,                 2.1108,                 1.7101,                   0.26,                0.61574,                0.35606,                0.26692,                0.90153,                 1.6675,                 1.6068,               0.009973,               0.009973,               0.009973
                      6,                  1.036,                 1.9595,                 1.6578,                0.29833,                0.63234,                 0.4049,                0.29516,                0.85844,                 1.6405,                 1.5324,               0.009964,               0.009964,               0.009964
                      7,                 1.0107,                 1.8748,                  1.636,                 0.3228,                 0.5968,                0.39991,                 0.2912,                0.86065,                 1.6338,                 1.5679,               0.009955,               0.009955,               0.009955
                      8,                0.98931,                 1.8096,                 1.6143,                0.37001,                0.63662,                0.47335,                0.34991,                0.87133,                 1.4258,                 1.5553,               0.009946,               0.009946,               0.009946
                      9,                0.96608,                 1.7618,                  1.581,                0.36243,                0.61894,                0.48121,                0.36281,                0.86993,                 1.4648,                 1.5439,               0.009937,               0.009937,               0.009937
                     10,                0.95474,                 1.7046,                 1.5581,                0.52701,                0.62144,                0.56294,                0.42419,                0.84751,                 1.3184,                 1.5239,               0.009928,               0.009928,               0.009928
                     11,                0.93458,                 1.6597,                 1.5303,                0.45669,                0.64568,                0.54769,                0.41277,                0.86119,                  1.317,                 1.5642,               0.009919,               0.009919,               0.009919
                     12,                0.92356,                 1.5965,                 1.5141,                 0.5116,                 0.6649,                0.59021,                 0.4409,                0.84302,                   1.21,                 1.5421,                0.00991,                0.00991,                0.00991
                     13,                0.91897,                 1.5681,                 1.4978,                0.49238,                0.65204,                0.57278,                0.43401,                 0.8484,                 1.2423,                 1.5608,               0.009901,               0.009901,               0.009901
                     14,                0.91195,                 1.5368,                  1.489,                0.54888,                0.65757,                0.62888,                0.48003,                0.85212,                 1.1986,                 1.5578,               0.009892,               0.009892,               0.009892
                     15,                0.89632,                 1.4936,                 1.4699,                0.57234,                0.70177,                0.65295,                0.49408,                0.86339,                 1.1074,                 1.5744,               0.009883,               0.009883,               0.009883
                     16,                0.88872,                 1.4848,                 1.4561,                0.57033,                0.70358,                0.65837,                0.49822,                0.83725,                 1.1226,                 1.5386,               0.009874,               0.009874,               0.009874
                     17,                0.88785,                 1.4559,                 1.4553,                0.57634,                0.69645,                0.67032,                0.50716,                0.85129,                 1.1024,                 1.5582,               0.009865,               0.009865,               0.009865
                     18,                0.88334,                 1.4292,                 1.4472,                 0.5717,                 0.6703,                0.66739,                0.51202,                0.82423,                 1.1144,                 1.5094,               0.009856,               0.009856,               0.009856
                     19,                0.87035,                 1.4152,                 1.4288,                  0.599,                0.70047,                0.69377,                0.53119,                0.84661,                 1.0689,                 1.5474,               0.009847,               0.009847,               0.009847
                     20,                 0.8766,                  1.396,                 1.4325,                0.60398,                0.73969,                0.69805,                 0.5327,                0.85571,                 1.0223,                 1.5627,               0.009838,               0.009838,               0.009838
                     21,                0.87418,                 1.3858,                 1.4244,                0.63211,                0.71165,                 0.7014,                0.54493,                0.82317,                 1.0194,                 1.4997,               0.009829,               0.009829,               0.009829
                     22,                0.86514,                 1.3527,                 1.4083,                0.63147,                0.71039,                0.71037,                 0.5484,                 0.8247,                  1.028,                 1.5428,                0.00982,                0.00982,                0.00982
                     23,                0.85852,                 1.3469,                 1.4067,                 0.6413,                0.73024,                0.71758,                 0.5594,                 0.8125,                0.99512,                 1.5044,               0.009811,               0.009811,               0.009811
                     24,                0.86079,                  1.335,                 1.4127,                0.66312,                0.73384,                 0.7337,                0.56012,                0.83509,                0.98559,                 1.5556,               0.009802,               0.009802,               0.009802
                     25,                0.85472,                 1.3277,                 1.4012,                0.65362,                0.75721,                0.73321,                0.56895,                 0.8097,                0.96353,                 1.4968,               0.009793,               0.009793,               0.009793
                     26,                0.84817,                 1.3143,                 1.3894,                0.67209,                 0.7594,                0.74822,                0.57688,                0.82809,                0.95304,                  1.525,               0.009784,               0.009784,               0.009784
